ISO3,S1_2000_2003,S1_2004_2007,S1_2008_2011,S1_2012_2015,S2_2000_2003,S2_2004_2007,S2_2008_2011,S2_2012_2015,S3_2000_2003,S3_2004_2007,S3_2008_2011,S3_2012_2015,S4_2000_2003,S4_2004_2007,S4_2008_2011,S4_2012_2015,S5_2000_2003,S5_2004_2007,S5_2008_2011,S5_2012_2015,S6_2000_2003,S6_2004_2007,S6_2008_2011,S6_2012_2015,S7_2000_2003,S7_2004_2007,S7_2008_2011,S7_2012_2015,S8_2000_2003,S8_2004_2007,S8_2008_2011,S8_2012_2015
BEL,13602,27260,25500,29679,8369,14999,16559,15382,8269,19407,13734,10436,0,0,0,5,8791,8703,16163,6365,6038,4668,7834,11263,0,0,3,0,5,30,89,197
GBR,4135,6490,5726,6606,2668,4132,4978,5137,4129,6292,7769,9295,0,0,0,12,2579,2453,3129,2068,0,0,0,0,0,0,0,0,3,23,47,71
DEU,241,271,3057,8104,297,347,2713,5519,214,281,2323,3501,0,0,0,11,181,132,2542,2279,125,156,1398,3692,5,14,116,340,15,15,190,246
DNK,77,1234,406,888,6,379,382,1578,21,330,292,866,2,1,1,260,195,715,257,291,188,410,386,429,0,0,1,57,32,98,118,212
ITA,8,18,68,95,12,17,43,8,13,37,53,18,0,0,0,0,13,29,115,41,0,0,1,0,1,0,0,7,1,6,2,1
ESP,0,0,59,471,13,6,40,130,3,1,47,427,0,0,0,0,3,4,42,479,0,0,4,26,1,2,4,32,1,0,9,14
PRT,0,0,0,9,1,0,2,0,7,0,3,5,0,0,0,0,13,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0
CHE,1514,2129,941,21,2540,2454,1509,2,974,1561,888,1,0,0,0,0,1859,1817,2852,9,385,422,539,0,22,53,29,0,96,203,112,0
SWE,532,4641,4622,3751,1196,7565,8403,5415,670,3623,2926,1479,0,18,48,1040,38,53,98,548,93,796,1881,1207,0,0,14,2,24,135,340,551
NOR,42,130,1220,1667,55,80,1439,1245,9,26,328,240,0,0,0,26,32,70,518,541,0,0,0,0,0,0,0,0,0,0,0,0
FIN,930,1367,3341,1824,2279,3038,6020,3763,283,494,584,141,2,19,14,1312,493,722,1902,582,106,397,690,929,3,76,344,385,39,209,360,324
